Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
22,238,54,Jun 6,BOS,@,FLA,"W,4-3",8-8,H(2),0,0.1,0,0,0,0,0,0,0,4.56,1,7,5,2,0,0,1,0,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,2.49,0.065,3.37,0.05%,0.25, 8b --- 0 out a1, 8b --- 1 out a1
23,239,58,Jun 10,BOS,@,ATL,"L,0-6",4-5,,3,1.1,0,0,0,1,1,0,0,4.44,4,15,7,3,1,1,1,0,1,0,,2,1,1,0,0,3,0,0,0,1,0,0,.35,-0.015,.48,-0.01%,0.10, 4b 1-3 2 out d4, 5b 3 out d5
24,240,61,Jun 14,BOS,@,NYY,"L,1-2",7-GF(8),L(2-5),3,2.0,2,1,1,0,3,1,0,4.44,8,33,20,4,3,1,4,2,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,1.67,-0.105,3.03,-0.12%,0.19, 7b --- 0 out tie, 8b end d 1
25,241,63,Jun 17,BOS,,TOR,"L,10-11",4-7,,2,4.0,6,4,4,0,3,2,0,4.76,17,57,39,8,8,3,11,5,0,0,,1,0,1,0,0,17,1,0,0,0,0,0,.14,-0.008,.24,-0.01%,-1.13, 4t 1-- 0 out d6, 7t 3 out d6
26,242,65,Jun 19,BOS,,NYY,"L,1-22",8-GF,,1,1.1,4,7,7,3,1,2,0,5.74,11,45,27,6,1,0,7,2,0,0,,1,0,0,0,0,7,0,0,0,0,1,0,.00,0.000,.00,0.00%,-6.11, 8t 1-- 2 out d14, 9t end d21
27,243,69,Jun 23,BOS,@,TOR,"L,4-5",6-GF(8),,3,3.0,0,0,0,1,1,0,0,5.46,9,26,16,5,1,3,4,0,1,0,,0,0,0,0,0,8,0,0,0,1,0,0,.43,0.083,.82,0.10%,1.85, 6b --- 0 out d3, 8b end d 1
28,244,74,Jun 29,BOS,,BAL,"W,12-4",GS-8,W(3-5),5,7.1,9,3,3,0,2,1,0,5.27,31,90,64,16,8,10,19,7,1,0,50,,,0,0,0,31,1,0,0,0,0,0,.56,0.262,.71,0.20%,1.59, 1t start tie, 8t --- 1 out a5
29,245,79,Jul 4,BOS,@,MIN,"W,14-4",GS-6,W(4-5),4,6.0,3,3,3,3,3,0,0,5.21,26,102,66,24,8,11,9,4,3,0,54,,,1,0,0,23,3,0,0,0,0,2,.48,0.047,.56,0.03%,0.73, 1b start a 1, 6b 3 out a9
30,246,84,Jul 9,BOS,,ATL,"W,7-2",GS-7,W(5-5),4,7.0,6,2,2,1,3,1,0,4.98,27,95,61,15,5,6,17,5,1,0,59,,,1,0,0,26,0,0,0,1,0,0,.86,0.170,.99,0.12%,2.31, 1t start tie, 7t 3 out a5
31,247,88,Jul 16,BOS,,MON,"W,5-2",GS-7,W(6-5),6,7.0,4,2,1,3,2,1,0,4.69,28,120,78,17,6,14,9,3,2,0,62,,,1,0,0,25,0,0,0,1,0,1,.91,0.240,1.23,0.20%,2.31, 1t start tie, 7t 3 out a3
32,248,93,Jul 21,BOS,,CHW,"L,5-8",GS-6,,4,6.0,9,5,5,3,1,2,0,4.87,27,91,65,15,8,7,16,6,3,0,32,,,2,0,0,23,3,0,0,1,1,0,1.23,-0.187,1.98,-0.18%,-1.31, 1t start tie, 6t 3 out d1
33,249,98,Jul 27,BOS,@,OAK,"W,5-4",GS-7,,5,6.2,7,4,4,1,5,3,0,4.90,28,96,62,23,6,7,15,4,0,0,48,,,1,0,0,27,2,0,0,0,0,0,.81,-0.125,1.32,-0.12%,-0.34, 1b start tie, 7b -2- 2 out d1
34,250,103,Aug 1,BOS,@,SEA,"L,4-5",GS-8,,4,8.0,8,4,4,1,7,1,0,4.87,32,115,78,26,10,11,13,4,2,0,56,,,2,0,0,30,0,1,0,0,1,0,1.27,0.078,2.31,0.09%,0.50, 1b start tie, 8b 3 out tie
35,251,107,Aug 6,BOS,,KCR,"L,1-3",GS-8,L(6-6),4,7.0,5,3,2,2,2,0,0,4.73,28,91,60,14,5,11,13,7,0,0,57,,,3,0,0,26,0,0,0,0,0,1,1.13,0.118,1.95,0.12%,1.96, 1t start tie, 8t 1-3 0 out tie
36,252,112,Aug 12,BOS,@,TEX,"L,3-6",GS-4,L(6-7),5,3.0,2,4,4,5,2,1,0,4.92,16,67,32,7,5,2,7,2,0,0,36,,,0,0,0,11,1,0,0,0,0,0,1.02,-0.179,1.79,-0.19%,-2.60, 1b start tie, 4b 1-- 0 out d4
37,253,117,Aug 17,BOS,,TEX,"W,8-7",GS-7,,4,6.1,9,6,5,2,5,2,0,5.03,31,104,72,19,6,6,18,7,2,0,36,,,0,0,0,29,3,0,1,1,0,2,.81,-0.164,1.47,-0.18%,-2.72, 1t start tie, 7t 12- 1 out d5
38,254,122,Aug 22,BOS,,ANA,"L,4-11",GS-5,L(6-8),4,4.1,9,8,8,2,0,0,1,5.41,24,81,54,15,3,7,14,7,1,0,11,,,0,0,0,20,3,0,0,0,0,0,1.02,-0.491,2.28,-0.66%,-4.69, 1t start tie, 5t -2- 1 out d3
39,255,127,Aug 27,BOS,@,KCR,"L,7-11",GS-5,L(6-9),4,5.0,8,9,7,3,5,2,0,5.68,27,101,62,18,6,7,12,6,1,0,21,,,3,0,0,23,0,0,0,0,1,1,.64,-0.292,1.43,-0.40%,-5.92, 1b start tie, 5b 3 out d8
40,256,130,Aug 30,BOS,@,TBD,"L,1-3",5-6,,2,2.0,1,0,0,0,2,0,0,5.60,6,22,14,3,5,1,3,3,0,0,,0,0,1,0,0,6,0,0,0,0,0,0,.61,0.074,1.35,0.10%,1.17, 5b --- 0 out d2, 6b 3 out d2
41,257,132,Sep 2,BOS,,SEA,"L,1-4",9-GF,,2,0.2,0,0,0,0,2,0,0,5.57,2,6,6,2,2,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,0,.29,0.016,.63,0.02%,0.77, 9t -2- 1 out d3, 9t end d 3
42,258,135,Sep 5,BOS,,OAK,"W,10-3",8-8,,2,1.0,1,0,0,0,0,0,0,5.53,4,11,8,3,0,0,4,1,2,0,,0,0,0,0,0,4,0,0,0,0,0,0,.06,0.005,.12,0.01%,0.62, 8t --- 0 out a7, 8t 3 out a7
43,259,136,Sep 6,BOS,,OAK,"L,4-6",6-7,,0,2.0,0,0,0,1,2,0,0,5.45,7,26,18,8,3,2,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.61,0.079,1.29,0.10%,1.23, 6t --- 0 out d3, 7t 3 out d2
44,260,138,Sep 8,BOS,,NYY,"L,0-4",7-8,,1,1.0,0,0,0,1,0,0,0,5.41,4,15,8,4,0,3,0,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,.84,0.060,1.79,0.08%,0.77, 7t -2- 1 out d2, 8t 1-- 1 out d2
45,261,139,Sep 9,BOS,,NYY,"L,3-5",9-GF,,0,0.2,2,1,1,1,1,1,0,5.45,5,26,14,4,1,1,2,0,0,0,,1,1,0,0,0,4,0,0,0,0,0,0,.17,-0.058,.35,-0.07%,-1.23, 9t -2- 1 out d2, 9t end d 4
46,262,145,Sep 15,BOS,@,DET,"W,7-6",GS-5,,5,5.0,5,3,2,3,6,0,1,5.39,24,96,59,15,9,7,7,2,2,0,50,,,2,1,0,20,1,0,0,0,0,0,1.28,0.010,2.66,0.01%,-0.19, 1b start tie, 5b 3 out a1
47,263,148,Sep 17,BOS,@,DET,"L,4-5",7-7,,1,0.2,0,0,0,0,1,0,0,5.36,2,10,6,1,2,1,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,0,.16,0.008,.36,0.01%,0.58, 7b 1-- 1 out d4, 7b 3 out d4
